no,VOC,pred,pred_수정
717,일층에 빵가게가 없어서 아쉽고 다양한 음닉점이 있었음함,['시설/환경_부정'],
721,의사 간호사 모두 친절하셨어요,"['의사_긍정','간호사_긍정']",
723,깨끗하고 친절하고 좋았습니다.,"['시설/환경_긍정','진료경험(진료/투약/검사/회진)_긍정']",
726,고열과 높은 혈압 때문에 입원했는데  자주 체크하지 않는다,['진료경험(진료/투약/검사/회진)_부정'],
730,담당의사의 막말 및 강제퇴원 협박으로인한 불쾌감<BR/>의사가 환자나 간호사에대한 존중이 1도없음<BR/>의사의 무책임함,['의사_부정'],
732,간이 잘 안맞는것이 있음,[],['시설/환경_부정']
744,링거주사좀 잘 놓는 분이 많아지면 좋겠네요 ,[],['직원_부정']
751,화장실 환기구가 있었으면합니다 냄새가 심하게 납니다  입원첫날  양쪽눈에  처치받고  양눈이 안보이는 상태에서 혼자 병실 찾아가기가 힘들었습니다 캄캄한데다가 앞도안보이고 엘배는 찾을수도 없고 찾다가  이리 저리 부딪치고  지금도 다리에 멍이 남아있습니다  병실 찾는데  오래걸렸습니다,['시설/환경_부정'],
791,응급실 찾기 힘들었어요 ㅠㅠ,['시설/환경_부정'],
793,보호실의 방음이 조금만 더 좋았으면 좋겠습니다.,['시설/환경_부정'],
803,검사후 대기시간,['대기시간_부정'],
821,주차장너무복잡해요ㅡㅡ,['주차_부정'],
822,없습니다.,[],
832,처음 내원해서 병원 구조가 조금 복잡하게 느껴져습니다,['시설/환경_부정'],
841,환자들도 식당을 이용할수 있으면 좋겠어요,['시설/환경_부정'],
851,진료 대기실이 너무 복잡하다.,['시설/환경_부정'],
866,흡연실 위치를 찾기가 어려움,['시설/환경_부정'],
867,"입구에서 응급실 찾아가는길

주차장에서 출구로 나가는 길이 복잡하고 

좀 헷갈립니다",['시설/환경_부정'],
883,채혈실 직원 확대,['병원시스템_부정'],
887,"시설 노후화,  주차문제","['시설/환경_부정','주차_부정']",
901,주차시설,['주차_부정'],
905,1인실 사용했는데 침대 밑에 마스크도 있고 좀더 청결했으면 좋겠습니다,['시설/환경_부정'],
907,소아과진료가 엉망입니다 열이나서 갔는데 폐렴증상이 있냐고 했더니 아직이라고 해서 외례진료를 보고 집에 복귀하였으나 다음날 다른 병원에서 폐렴이 상당이 진행 되었다 하여 입원 하였습니다,['진료경험(진료/투약/검사/회진)_부정'],
909,중간중간 혈압체크를 하는 시간이 많았는데 그것도 시간표 있으면 좋을 것 같아요. ,['병원시스템_부정'],
921,대부분의 조무사선생님들이 친절하셨는데<BR/>간혹 한분이 바쁘셔서 그런지<BR/>행동이 약간 거칠으셨어요. <BR/>조금 당황하긴 했으나 일이 많으셔서 <BR/>그런가보다 했네요.,['의사_긍정'],['간호사_긍정']
924,"ㅣ.주차장협소
2. 보호자 대기실협소 ",['주차_부정'],"['주차_부정','시설/환경_부정']"
928,"진료는 빨리끝났으나 전산시스템으로인해 대기시간이 길었음, 개선해서 순서대로가아닌 빨리 해결할수있는것부터 해도 될것같음",['대기시간_부정'],
935,주차,['주차_부정'],[]
941,"응급실 의사분이 마스크를 착용하신 점은 충분히 이해하지만 말이 잘 안들려서 계속 ""네?""를 반복하게 하였습니다.  그리고 자세한 설명 부분도 부족했어요. 피 염증수치가 어떤 부분과 연관이 있느냐 부분에 대한 설명도 명확하지 않고, 추후에 ct 촬영 필요여부에 대해서도 ""염증수치가 있으니까요"" 이런식으로 무안함을 느끼게 하는 건 아닌듯해요. 오히려 간호사분들이 친절하게 알려주시는 것 같았습니다.",['의사_부정'],"['의사_부정','간호사_긍정']"
959,없는것같아요,['시설/환경_부정'],[]
963,"치료가 진행되고 나서 조금씩 움직이고 산책하려고 하는데
수액&약 트레이를 들고 움직일 수 있는 평평한 공간이 거의 없었던 점이 아쉬웠습니다.",['시설/환경_부정'],
965,침대가 폭이작아서 좀 불편했다,['시설/환경_부정'],
966,"행정업무  처리하는 원무과 직원들이 친절했으면 좋겠다.
보호자 입장에서 궁금한 것들을 묻는데 옆에서 이야기 한다고 앞으로 와서 이야기 하라 불친절하게 대응하고 비용문의 하는데도 퉁명스럽게 대답하며 표정 또한 차가워서 더 궁금해도 묻기가 어려웠음.",['직원_부정'],
979,"응급실에서 침대에서 누워있는 동안 한기가 심해 이불을 간호사에게 요구하였습니다 그래도 계속 추위가 가시지 않아 이불을 하나 더 요청을 하니 한 환자당 이불은 하나 이며 다른 환자도 사용을 한다는 이유였습니다.
당시 무더위로 다른 두 침대의 환자는 이불을 사용하지 않았고 다른 환자도 없었습니다 
융통성 있게 다른 환자도 붐비지 않고 한 환자의 몸 상태를 생각했다면 병원 규정만 이야기 하는 것이 과연 옳은 환자를 대하는 방법일까요? 이게 환자를 위하는 차병원의 서비스인가요? 너무 추워서 2번 요청하였으나 같은 이유로 거절 당했습니다. 이후 다른 간호사들에게 겨우 사정하여 담요를 받았습니다. 환자가 많고 다른 환자들도 이불이 필요로 하다면 규정은 이해합니다 
그러니 무더위에 이불을 덮지 않았던 소수의 환자들 사이에서 규정만 이야기 하는 간호사에게 답답함과 실망스러움은 큽니다. 간호사의 가족이였다면 이렇게 외면 하실 건가요? 이런 서비스에 응금실 추가비용은 너무 아깝습니다. ","['시설/환경_부정','간호사_부정']",
991,산책할수 있는 공간이 부족합니다. 책을 빌려볼수 있는곳이 있었으면 합니다,['시설/환경_부정'],
992,새벽ㅡ아침 여자 원무직원 불친절,['직원_부정'],
996,"예약 환자는 진찰료는 검사나
치료후에
한꺼번에 한번으로 수납했으면 합니다",['간호사_부정'],['예약/접수/수납/입퇴원_부정']
997,침대가 너무 불편해요 ..ㅠ.ㅠ,['시설/환경_부정'],
1001,만족합니다,['시설/환경_긍정'],[]
1007,너무 아파서 갓는데 기다리는 시간이 너무 길어요 급하니까 응급실 방문하는것이데 2시간씩 기다리는게 무슨 응급실인가요,['대기시간_부정'],
1011,배선일에는 휴지통이 하나있습니다. .<BR/>빈물병이나 플라스틱을 따로 분리수거할것이 있었으면합니다.,['시설/환경_부정'],
1012,중환자실에서 일반병실로 전동가는데 보호자는 모르고 있고 환자 혼자 올라갔다가 보호자가 나중에 찾아옴. 경우가 아니라고 봅니다. 병실 침대가 너무 딱딱했습니다.,['시설/환경_부정'],
1024,"최대4시간도기다린다고들었습니다 신속한진료처치받을수있도록부탁드립니다ㅠ 대구에 얼마없는 소아응급실 
너무소중합니다",['대기시간_부정'],
1028,어르신들 모시고 가면 주차장이 너무 불편하여 예약 시가보다 빨리 가야 어르신이 내리고 탈때 좀 덜 불편하게 빨리가야해 주차하는 곳이 너무 너무 협소함,['주차_부정'],
1032,개선점잘모르겠음,['진료경험(진료/투약/검사/회진)_부정'],[]
1043,선불시스템으로 진료간 검사 발생시 수납과 진료실을 수시로 왔다갔다 하는 쓸데없는 불편함이 발생함,"['진료경험(진료/투약/검사/회진)_부정','병원시스템_부정']",['병원시스템_부정']
1045,"안과 검사실 대기 시간을 알려주지 않는 것이 환자나 보호자를 너무 불안하게 함에도 불구하고 검사실 직원들은 전혀 개의치 않음, 진료실에 대기 순서를 표시해 놓으면 뭐합니까, 검사실은 1시간이 넘게 기다려도 내 순서가 오기는 하는지, 누락된 건 아닌지 알지도 못하고 말도 안 해주고, 앉을 자리도 없고, 대략적인 대기시간이나 대기 순서 알려주는게 뭐 어렵다고 불친절하게. 대기시간 알려줄 바에야 일을 하는게 환자에게 도움이 된다고 말은 하지만 그렇다고 일을 빠르게 하는 것도 아님.","['대기시간_부정','직원_부정']",
1047,"그냥 너무 좋아요 완전 그나저나 코로나에서 더 자유로워지면 면회는 좀 더 나아지겠죠,,?",['병원시스템_부정'],
1048,밥이 맛 없어요 ㅜ,['시설/환경_부정'],
1052,간호사 의사 저에게는 비교적 그랬지만 어르신이나 질문을 2~3번정도 하는 분들께는 인상이 굳으며 딱딱한 말투로 친절모드가 사라졌습니다.많이 아쉽더군요,"['간호사_부정','의사_부정']",
1056,앞으로도 쭈욱 환자분 캐어 부탁합니다 만족합니다 ,[],
1064,"금액을 분야별로
ㅇ해하기 쉽게했으면합니다
그냥 무엇무엇 얼마에요가아닌
이건얼마
이건얼마
그래서얼마라고ㅡ",['진료경험(진료/투약/검사/회진)_부정'],['병원시스템_부정']
1066,"간호사 의사 모두 환자에게 친절하게 정성을 다하는 모습에 감동했습니다 
그런데 일부 환자들이 병실에서 무분별하게 떠들고 고성으로 대화하는 등 소란을 피워 참 불쾌했습니다
다른 환자들이 불편을 느끼지 않도록 떠드거나 노란을 피우는 환자들을 제지하여 주셨음 좋겠습니다","['의사_긍정','직원_부정','간호사_긍정']","['의사_긍정','간호사_긍정','시설/환경_부정']"
1068, 엘레베이터 타기 어렵고 (인원초과) 너무 오래 기다립니다. 예약 후에도 긴 대기시간 개선 부탁드립니다.,"['대기시간_부정','시설/환경_부정']",
1076,모든거. 전부,['진료경험(진료/투약/검사/회진)_긍정'],[]
1080,"환자침대수가 작아요
조금더 신경을 써주시면 모든응급
환자가 만족을 느낄것같습니다",['시설/환경_부정'],
1091,"면회가 안되는 상황에서 병동입구에서 다른 사람들이 출입할때 외부인들이 출입하는 상황을 몇번이나 목격했습니다
외부인 통제가 제대로 안될바에야 차라리 면회를 허용해주든지 하는 생각입니다","['진료경험(진료/투약/검사/회진)_부정','병원시스템_부정']",['병원시스템_부정']
1096,주차시설의 편리와 노인 외래환자를 위한 친절한 도우미 인력의 확충이 필요해 보임.,['주차_부정'],"['주차_부정','병원시스템_부정']"
1104,현재는 만족  합니다,['시설/환경_긍정'],[]
1106,"간호사  4일째 주사바늘  교체가 필요한데
그냥지나서 멍이 들고  해서 조금  불편했습니다",['간호사_부정'],
1108,1인실 사용시 개인 화장실 샤워실 포함되면 좋겠음,['시설/환경_부정'],
1112,개인적~무슨과전화할때통화가잘안돼있는게약간에~전달이잘안됩니다,"['진료경험(진료/투약/검사/회진)_부정','병원시스템_부정']",['병원시스템_부정']
1116,2-3인실이 많았으면 좋겠습니다. 5인실 꽉차니 보호자들 코골이에 잠을 잘수가 없었어요.. ,['시설/환경_부정'],
1120,CT등 검사 대기 시간이 너무 길어서 시급히 개선해야된다고 봅니다,['대기시간_부정'],
1122,응급실 주치의사로서의 전문성과 환자를 대하는 사명감,['의사_부정'],['의사_긍정']
1130,간호사분들이질서가없고 일에 두서가 없는것갔았읍니다  식사가너무 부실한것같았읍니다,"['시설/환경_부정','간호사_부정']",
1136,병실에서 통화를 길게 하시는 분이 계셨는데 그런 부분은 좀 주의를 주시는 편이 좋을듯해요,['진료경험(진료/투약/검사/회진)_부정'],['시설/환경_부정']
1162,낙후된 시설 보안,['시설/환경_부정'],
1165,선생님들 진료하는 날짜를 늘렸으면좋겠다,['의사_부정'],
1169,"1인실 병실을 이용했는데 모든 곳이 청결했지만, 에어컨 주변에 곰팡이가 있었습니다. 호흡기 환자로 입원한 경우라 우려가 되었습니다. ",['시설/환경_부정'],
1173,주차장이 넓었으면,['주차_부정'],
1177,"주차장 협소. 검진비용 비싸다 
비수면 위내시경 대기순서가 변경되어 불편했다. ",['주차_부정'],"['주차_부정','병원시스템_부정']"
1179,퇴원후 사후관리에 대해서 설명이 아쉬웠습니다,['진료경험(진료/투약/검사/회진)_부정'],
1187,안내창구를좀잘보이는곳에설치하면좋겠습니다,['시설/환경_부정'],
1195,"보호자로서 치료목적을 정확히 설명받고 판단할 기회를 주셨으면 좋겠습니다
입원실안 화장실에 양치중이었고 아이는 침상에 누워있었는데 제가 안보인다고 담당의사 선생님은 바로 나가셨다고 합니다
물어볼게있었는데 그뒤로 그날 회진 다시오지않으셨고 아이가 심각한상황이 아니여서 수면마취까지 하지않아도 될상황을몰라 다음날 아침 검사를 진행하게 된 뒤에 안해도 된다는걸 알았습니다
회진시간도 유동적이라하셔 적혀있는시간과는 전혀 다르게 오셨고 보호자 1명만 가능한 상황에서 자리를 24시간 안비울수도없는상황이라 생각합니다
선생님 오셨단걸 알면 입이라도 바로헹궈 나갔을텐데 찾으시려는 생각이 전혀 없던걸로 판단됩니다
간호사분들 개개인 다 다르지만 몇몇분은 제가 물어본것도 까먹으시고 항상맞던 항생젠데 새벽에 링거에 항생제 투여하실때 너무 쎄게 넣어서 아이가 자지러지게울고 나가서 테잎 뜯어보니 피가 나고있고 손등에 멍이 크게 들었습니다
그러고는 저한테 그냥 수액을 계속 맞을건지 바늘을 다시 다른곳에 꽂을건지 결정하라 하시고 내일 퇴원인데 항생제 한번남은거 맞을건지 안맞을건지 결정하라고 했습니다
보호자가 맞지만 제가 이런부분은 결정하는게 아니라 간호사분께서 알아서 조취를 취하시는게 맞다고 생각듭니다
이런부분 조금만 조심해주시면 좋겠습니다","['진료경험(진료/투약/검사/회진)_부정','의사_부정']","['간호사_부정','의사_부정']"
1197,산부인과 초진시에 문진표 같은걸 작성하게 되어있었는데 작성을 하려고할때 상담실에 빨간불이 들어와서 작성못하고 상담실로 들어가서 상담을 받았는데 그 직원분이 그 문진표 내용을 읽어가면서 표시를 해주는 과정에서 제가 딱한번 말을 잘못알아들었다고 귀찮고 짜증삼키는 표정을 짓더라구요…빨리 해치우고싶은지 말도 열라 빨리하면서 손가락으론 나 지금 이 문진표꺼 읽고있다는 제스쳐를 취해주긴 했는데 너무 빨라서 제 눈으로 따라가기전에 이미 말을 하는 상황이었음.. 결혼을 몇년도에 했냐는 질문을 결혼한지 몇년 되었냐로 잘못알아듣고 ‘9년??’ 이런식으로 대답했는데 직원이 “2009년 이요?” 하길래 제가 “아 ~ 몇년도에 했냐구요?”이 한마디 했다고 되게 빡친다는 표정으로 또 손가락으로 문진표 탁탁가리키며 (정확한 곳을 가리키는것도 아님)또 눈으로 따라갈 새도 없이 속사포랩으로 줄줄줄….간신히 정신부여 잡고 또 직원님 심기불편하게 만들까봐 초긴장하며 그 뒤로는 잘 대답했답니다…일 되게 하기 싫으신가봐요..아님 그 날이라 뭐든 다 짜증나고 예민하셨나…,['직원_부정'],
1199,분당차병원에 정착하게 될 거 같아요!,['병원시스템_부정'],[]
1202,무슨 검사에 필요하다고 간호사가 보호자에게 우유를 사다달라고 한 적이 두어번 있었는데 검사에 필요한 것이라면 병원 측에서 준비하는게 합리적일 것 같습니다.,['간호사_부정'],['병원시스템_부정']
1210,"ㅡ 원무과 퇴원정산 직원 불친절함
ㅡ 가퇴원이라 하기에 정산계산서를 팩스 전송해달라 요청했으나, 정산통보문자 받으면 병원으로 직접 전화 하라고 함. 팩스 송신 예약 거절함

2일전에 퇴원하겟다고 통보했는데도 불구하고 제때 정산되지 않아 불편햇음",['직원_부정'],
1212,"산재환자는 일반환자와 다른 차별이 존재한다는 점을 느끼는것은 어쩔수 없는것 같다. 아무튼 같은 대우는 아닌것 같타.
",['병원시스템_부정'],
1218," 보호자. 환자 대기실 어수선.
대기 의자에 누워 계신분들 땜에. 다른 환자 .보호자가
힘든 시간 .기다림.

 대기실  바닥에  손가락 두마디 정도의 바퀴 벌레
 돌아다님.. 한두 마리가 아님
그런 환경 속에 환자용 이불이 바닥에 널부러져 있었음.
  관리가 미흡했음.

  앞에 환자분들 검사 결과에대해. 의사 쌤이. 이야길 해주시는걸 들었음. (대기실에선  다. 들림) . 2분이나 같은 내용의 처방. 심지어. 저 까지 같았음. 우연??
 
환자는 불편한데.   혈액 검사. 심전도에서 정상 이란 
이유로 해줄게 없다라고 말씀하심.

 전북 거주 대구 놀러가서  말그대로 갑자기   몸이 아파
내원했데. .. 지역 거주자였음  걸러서 가지 않을.......","['시설/환경_부정','의사_부정']",
1222,"의사 대면 진료실에 들어가면  컴퓨터모니터로 인해 얼굴보기 힘들다
난 휠체어환자
각도를 조절하면 좋겠고 그렇지 못하다면 대면책상위에 컴퓨터 모니터 3대는 아니라고 봅니다
겨우 한달에 한번 2분보는 의사인데 의사 얼굴도 못보고 이야기 하고 있다
ct결과도 같이보면서 상이도 안하는데  모니터 3대는 정말오바다
종양내과 2번진료실 이인희교수님",['의사_부정'],
1232,"환자에 처치 에 관한 상세한 설명을 했으면 한다
주의 사항만 요구하지 말고",['진료경험(진료/투약/검사/회진)_부정'],
1246,주차시설 개선,['주차_부정'],
1250,친절교육만 잘 시키면 좋을꺼 같아요,"['시설/환경_부정','진료경험(진료/투약/검사/회진)_부정']",['진료경험(진료/투약/검사/회진)_부정']
1256,"해당 응급실 입원시 남자 간호사 선생님의 말씀하시는 방식(같은말도 사람 기분 나쁘게 만드시는 스타일 같습니다)과 태도가 상당히 기분이 좋지 않았습니다.
그리고 아무리 응급실이라 하지만 
저희  아이가 고열 상태로 응급실에 왔었으면
환자의 주기적인 열체크 정도는 해주셔야 맞다고 생각합니다만  요청이 있을때까지 단 한번도 신경 써주지 않았습니다. 간식드시고 동료분들과 대화하실 시간은 있으신거 같은데 말이죠. 아이의 열체크를 해주시면서 체온계의 온도를 제 눈으로 직접 확인하라는 식으로 얼굴쪽으로 체온계를 들이밀더군요. 상당히 불쾌했습니다. 
그 분은 저 말고도 다른 환자분의 기분도 상하게 해드렸나봐요. 다른 아이의 환자 보호자 분과도 언쟁소리가 들렸습니다. 다른 보호자 분께서도 상당히 불쾌하신거 같은 상황이였습니다. 
다른 응급실도 가본적이 있습니다만  그 남자 간호사분 한사람 때문에 다시는 방문하고 싶지 않을 만큼 좋지않은 기억입니다.",['간호사_부정'],
1260, 없습니다   끝으로 의료써비스 도우미 분들 많이잇어서  고객분들에 손  발이 되어주어고맙습니다,['직원_긍정'],
1262,경북대학교 병원 너무 좋아요,['의사_긍정'],[]
1266,"응급실에서 입원실로 이동시는 좋았으나. 기타이동시
조금 능숙하지 않아 보였습니다. ",['진료경험(진료/투약/검사/회진)_부정'],
1270,"7/1 토요일 야간에 방문 시 의사의 전문적인 설명과 검사가 있었습니다. 그렇지만 상태에 호전은 없어 걱정이 되어 7/2 주간에 방문하였는데 응급실 의료진은 진찰 후에 ""확실하진 않지만"" 이러이러해 보인다 라는식으로 응대하고 별다른 조치는 없습니다. 7/1 야간에 만났던 의료진을 생각하고 재방문 한 것은 큰 오산이었네요 의료진 간의 실력격차가 너무 심합니다.",['의사_부정'],
1272,진료비 개선,['병원시스템_부정'],
1274,퇴원시  전화 통화보다는 환자를 만나서 퇴원 결정권을 타 병원처럼 해주시면 좋겠고  퇴원 수속이 이렇게 늦은 병원은 처음이었던거 같았음 그런부분들이 좀 잘 개선되어서 환자들이  여러장애를 갖지 않도록 배려해주시는것도 필요할것으로 사료됨,"['진료경험(진료/투약/검사/회진)_부정','병원시스템_부정']",
1286,장시간 대기를 할 수 밖에 없는 상황도 이해하나 중간중간 어떤 단계이고 무엇 때문에 이렇게 오래 대기해야 하는지 안내를 해 주시면 좋겠습니다. 간단한 촬영과 검사만 진행하였는데도 15시에 들어가서 21시 다 되어 나올 수 있었어요. 중간에 안내 해 주시는 분이 없어 보호자가 계속 얼마나 더 대기해야 하는지 물어볼 수 밖에 없는 환경이었습니다.,['대기시간_부정'],
1290,없었음,[],
1292,장애인이나 의료취약층에게는 입원시  환자나보호자 요청시 1인실 우선선택권이 있엇으면합니다,['병원시스템_부정'],
1294,비위생적.감영 우려  의로진사용하는카트 기타등등 오염적인부분 넘많고 사람을대하는데  툰명스럽게대하는 간호파트.접수처  특히접수처는  말한마디 물으려면  번호표뽑고기다려라하고  제기준은 다른병원도  많이겪어본 사랑으로  말씀드리는데 많이 실망스러워 담엔  멀더라도  다른병원으로가자했습니자,"['직원_부정','간호사_부정']","['직원_부정','간호사_부정','시설/환경_부정']"
1298,"담당교수님의 전문성에 대해 생각해볼 필요가 있습니다.
환자의 상태, 검사결과에 대해 설명조차 없었으며
검사 수치 결괴 등 간호사에게 겨우 물어봐 설명을 들었지만 
정확하게 납득이 가지 않는 등 어려움이 컸습니다.
회진을 돌 때 매번 도망치듯 한두마디하고 사라지는
의사..대학병원 의사라고 할 수 있을까요
저희는 정확하게 설명을 듣지못하여 
의뢰서 겨우 부탁하였고
서울대병원으로 전원합니다.
저뿐만 아니라 함께 입원 한 사람들도 다들
교수님과 병원생활에서 설명조차 없었던 것 많이 불쾌해했습니다.
",['의사_부정'],
1306,화장실 수가 약간 적지만 관리를 잘해줘서 불만은 없다,['시설/환경_부정'],
1308,예,[],
1314,"먼저, 간호사들이 바쁜건 알겠지만 자주 잊어먹는거 같습니다.
의사의 지시가 간호사들에게 잘 전달되지 않았네요.
기다려도 기다려도 안와서 간호사데스크에 말하니 그때서야 해준다고함.. 물론 그것도 빠른 처리는 되지 않았음.
그리고 처치가 좀..... 실망이었음. 설명도 제대로 안해주고가서 기다리고 또 기다리고 6시간을 버린 기분이었네요",['간호사_부정'],
1322,매우 만족합니다  ㆍ,[],
1328,인근 대학병원과 간호인력들이 비교되네요. 신속한 처리가 요구됩니다.,['간호사_부정'],
1360,"검사 결과 대기시간 등 환자가 확인할 수 있는 화면이 실시간 반영이 되었으면 좋겠습니다. 
실시간 반영되지 않아 의미없었어요.",['대기시간_부정'],
1368,서상헌교수 교수 맞나요? 말귀도 못알아먹고 본인말만 하고 진료기록설명도 잘못하고 빈혈점 있다고 갑자기 위암 4기 얘기를 하는둥 저번 기록과 이번 기록 비교해서 설명을 해달라고 하니까 저번 검사는 다른검사 였다고 귀찮아 동네 의사보다 설명을 못하는 교수는 처음 봅니다. 이런교수인줄 알았다면 절대 진료 안받았습니다. 돈낭비 시간낭비 정신적 충격까지 받고 진료 보러가서 병을 얻고 가는 느낌이네요,['의사_부정'],
1383,간호사들 한정적 간호사들의 환자 배려 없다,['간호사_부정'],
1388,"제가 수납을 하고 처방전을 어떻게 받아야 하는지 제대로 설명을 듣지 못하여. 다시 병원을 내원하였습니다.
상세한 설명 절차가 있으면 좋을것 같습니다.
치료 과정 후 할수 있는것과 하면 안되는것에 대해 대략적으로 상세한 설명이 있으면 좋을것 같습니다.
예를 들면 이런 치료 후에는 강한 불빛이나 외출을 자제해야한다. 샤워는 며칠후에 할수 있다 등이 있겠습니다.",['진료경험(진료/투약/검사/회진)_부정'],"['진료경험(진료/투약/검사/회진)_부정','예약/접수/수납/입퇴원_부정']"
1390,아이들이 진료를 많이 보는 만큼 아이들을 위한 놀이공간이나 수유실이 확대되면 좋겠다,['시설/환경_부정'],
1398,의료진 서비스부족,['의사_부정'],
1410,"1층과  2층 연결하는 에스컬레이트 속도가
 (블편하신 부모님과 같이 탈때)  좀 빠른거
같아 다소 위험.


",['시설/환경_부정'],
1412,너무 비싸다,['병원시스템_부정'],
1424,진료 내용과 향후 진료(치료)절차를 상세히 들었으면 좋겠음,['진료경험(진료/투약/검사/회진)_부정'],
1430,"전문성, 경험이 부족하여 응급대처를 못하여 오히려 보호자에 지시에 따라 간신히 대처하는 간호사들의 모습과 의사의 전달외에는 할줄아는게 미흡한듯하고 전달사항을 의사에게 전달하는걸 어려워하는것 같아 번거로운 대처.


의사는 환자진료시 기본적인 청진 하나 하지 않는 모습과 회진시에도 환자의 상태의 이야기에도 눈으로 손으로 확인하는 절차없이 귀로만 듣는 행위.
환자에게 꼭 필요한 처방이라하며 알아서 구해서 처방하라는 환자를 생각하지 않는 행위등.

이름에 걸맞지 않은 의료진의 행동들이 매우 실망스러움.","['간호사_부정','의사_부정']",['간호사_부정']
1436,"병원 입구 앞 입원환자들의 금연을 좀 하게끔 하였으면 합니다 10대 아이와 병원에서 나와서 택시를 기다리는 중 담배연기가 좀…물론 통제가 어렵긴 하겠지만요(환자들에게 벌금을 먹인다던지 해서 담배는 그 주변에서 못피게 아니면 흡연실에 다 가둬서 피게끔 ) 
응급실에 대한 개선점은 없습니다 수고하세요",['시설/환경_부정'],
1448,열심히 일하시는 고려대학교안암병원 직원분들 모두다 급여좀 올려주세요~환자들의 고급진 케어를 위해서요.,['직원_부정'],['병원시스템_부정']
1452, 접수창구직원이 너무 불친절했습니다,['직원_부정'],
1454,주차하기에 시 설이 부족하다,['주차_부정'],
1456,응급실 침상이 여유가 있었으면 한다,['시설/환경_부정'],
1462,"처음 과별로  환자  증상에 맞는 의사 선생님 선택시 안내 요원들의 도움이 꼭  필요합니다ㆍ
의사 선택시  좋은 추천 기대해봅니다ㆍ",['의사_부정'],['직원_부정']
1468,없습니다 ,[],
1476,"1. 병원에 입원할 환자를 위한 산책로 조성이 잘되어있으면 좋겠습니다. 링거바퀴를 끌고 외부에 잠시 나가있고 싶어도 길이 여의치 않습니다.
2. 혈관찾기 힘든 환자를 위한 정맥주사전문 간호사님이 계셨으면 좋겠습니다. 모든 환자들이 혈관찾기 좋고, 편한 환자들은 아니니까요. 혈관이 약하고 잘 안잡히는 어려운 환자들을 위해 그부분 전문가 선생님이계셨으면 신뢰하며 명지병원의 처치를 받았겠지만 그렇지 못해 안타깝습니다.
3. 퇴원절차가 너무 번거롭습니다..........제대로된 안내가 없었습니다. 마냥 기다리려니 치료받을때보다 더 힘들었습니다. 
담당선생님께서는 퇴원하자고 하셔서 준비 다하고 가려는데 기다리라고만 하셨고, ...바쁘신건 알겠지만 입원날 드렸던 제증명서류도 준비안되어 있고, 다음 외래때 신청해서 또 기다려야 된다고 하시는데....순간 화가 많이 났습니다. 바빳고, 급했고, 그래서 이해는 합니다. 그런데 왜 그 책임까지 환자가 지어야 하나요?.
외래때와서 따로 다른간호사분께 신청을해서 기다리면 된다니요..... 며칠전에 신청했던건데 누락되어있는것도 어이없는데 번거로움을 환자에게 전가시키는 시스템은 아주 극혐입니다.
이건 아직도 화가나네요.
4. 대기시간이 깁니다.. 물론 아픈환자들이 많아서 그런건 어쩔수없지만, 대기시간이 항상 긴 만큼 대기실자체에 의자배치를 더 해주시고, 정수기도 설치 해주시기를 부탁드려봅니다. 진료대기실에 추가 의자 배치 요청합니다.
5. 주차관련입니다.
입원시 코로나검사를 받고 당장 병원밖으로 나갈수없게 하는 시스템이던데, 입.퇴원날만 빼고 주차비를 받는다는게 이해가 안됩니다. 입원할지 모르고 진료를 위해 내원해서 갑자기 입원해야하는 상황이 발생하면 주차는 무료로 해주셔야합니다.
그렇지 않다면 입원이 확정되면 1~2시간정도 입원준비를 하고 올수있게 해주셔야죠.
너무나 당황스러웠습니다.

위의 다른건 다 개선이 안될지라고
입원환자를 위한 정맥전문 간호사 선생님은 꼭 .꼭 계셨으면 좋겠습니다.
","['시설/환경_부정','병원시스템_부정']","['시설/환경_부정','병원시스템_부정','예약/접수/수납/입퇴원_부정','대기시간_부정']"
1478,"치료후 관리법이나,설명이 없음  무언가 산만하게 보임",['진료경험(진료/투약/검사/회진)_부정'],
1484,"의료진의 질  향상이 필요함.  환자의  병 치료를  계속

고민하고  연구해야지  의사로서의 자세태도에서  신뢰가  안느껴짐.",['의사_부정'],
1494,채혈실 빼고는 다 괜찮아요 참 좋아요 충남대학병원^^,['진료경험(진료/투약/검사/회진)_긍정'],[]
1500,간호사강우척친절했읍니다,['간호사_긍정'],
1510,진료실 앞에 계신 나이든 아줌마 직원의 퉁명스러운 말투가 불쾌했습니다,['직원_부정'],
1512,"*주차가편하고
*교수님께서설명을잘알아듣도록해주셔서감함
*단 불편한점이있다면
접수할때  진료후설명들을때가넘복잡하고
설명듣기전대기하는과정이넘혼잡합니다","['의사_긍정','주차_긍정']","['의사_긍정','주차_긍정','예약/접수/수납/입퇴원_부정','대기시간_부정']"
1526,진료대기 시간이. 안지켜지고. 담당의사  진료시간은 짧아요,['대기시간_부정'],
1534,대기실에 의자수가 조금 더 있었으면 좋겠습니다.,['시설/환경_부정'],
1536,환자 등 방문객 증가로 병원 부지의 확장이 필요하다고 생각함. ,['병원시스템_부정'],['시설/환경_부정']
